syn	length	gc
ENSG00000287396.1	AL592464.3	663	0.51
ENSG00000231630.1	AL592464.1	429	0.592
ENSG00000169717.7	ACTRT2	1437	0.617
ENSG00000283572.1	MIR4251	61	0.508
ENSG00000226286.1	AL008733.1	469	0.559
ENSG00000279839.1	AL512383.1	2677	0.591
ENSG00000272235.1	AL590438.1	3461	0.542
ENSG00000287828.1	AL354743.2	728	0.61
ENSG00000286518.1	AL354743.1	2784	0.542
ENSG00000272088.1	AL512413.1	382	0.403
ENSG00000207776.1	MIR551A	96	0.615
ENSG00000238260.1	AL513320.1	622	0.613
ENSG00000227589.1	AL136528.1	754	0.521
ENSG00000235131.1	TP73-AS2	351	0.57
ENSG00000276189.1	AL136528.2	161	0.578
ENSG00000266075.2	RN7SL574P	297	0.586
ENSG00000272153.1	AL365330.1	531	0.539
ENSG00000284703.1	AL805961.1	4817	0.446
ENSG00000229280.1	EEF1DP6	372	0.57
ENSG00000284694.1	AL355602.1	3402	0.493
ENSG00000227169.2	Z98747.1	356	0.455
ENSG00000284739.1	BX005132.1	464	0.532
ENSG00000284674.1	LINC02781	1580	0.498
ENSG00000231510.1	LINC02782	449	0.519
ENSG00000284616.1	AL139823.1	1225	0.456
ENSG00000284666.1	Z98259.2	609	0.534
ENSG00000260972.1	Z98259.1	1697	0.516
ENSG00000283356.1	Z97988.2	135	0.415
ENSG00000264341.1	Z97988.1	73	0.63
ENSG00000264101.1	MIR4689	70	0.629
ENSG00000285629.1	AL031847.1	663	0.496
ENSG00000226944.1	RNF207-AS1	378	0.579
ENSG00000173673.8	HES3	710	0.679
ENSG00000158292.7	GPR153	4198	0.665
ENSG00000271746.1	AL031848.2	837	0.632
ENSG00000265392.1	MIR4252	63	0.651
ENSG00000231868.1	AL031848.1	351	0.601
ENSG00000253022.1	RNU6-731P	111	0.378
ENSG00000229519.2	AL591866.1	401	0.464
ENSG00000284744.1	AL591163.1	987	0.47
ENSG00000237436.1	CAMTA1-DT	415	0.571
ENSG00000227950.1	AL590128.1	286	0.51
ENSG00000237365.1	AL512330.1	349	0.544
ENSG00000207056.1	RNU1-8P	165	0.521
ENSG00000237402.1	CAMTA1-IT1	365	0.534
ENSG00000225126.1	CAMTA1-AS1	361	0.49
ENSG00000270171.1	AL359881.3	1721	0.479
ENSG00000270035.1	AL359881.2	570	0.553
ENSG00000269978.1	AL359881.1	267	0.382
ENSG00000269925.1	Z98884.2	393	0.366
ENSG00000236266.1	Z98884.1	830	0.502
ENSG00000270330.1	AL009183.1	355	0.685
ENSG00000200344.1	Y_RNA	103	0.427
ENSG00000284716.1	AL034417.3	1043	0.41
ENSG00000238290.1	AL034417.2	2044	0.526
ENSG00000232848.1	AL034417.1	800	0.524
ENSG00000229305.1	AL358876.1	1075	0.457
ENSG00000200975.1	RNU1-7P	164	0.555
ENSG00000233645.1	AL358876.2	477	0.551
ENSG00000251977.1	RNU6-991P	107	0.467
ENSG00000252254.1	AL356072.1	113	0.504
ENSG00000221083.1	AL096855.1	125	0.552
ENSG00000270282.1	AL096855.2	369	0.537
ENSG00000234619.1	RPL7P11	658	0.415
ENSG00000224315.2	RPL7P7	703	0.42
ENSG00000222511.2	Y_RNA	103	0.34
ENSG00000226545.1	AL357552.1	415	0.463
ENSG00000228423.2	AL357552.2	353	0.408
ENSG00000229716.2	RPL23AP19	369	0.472
ENSG00000274258.1	MIR6728	89	0.607
ENSG00000230679.1	ENO1-AS1	456	0.489
ENSG00000201725.1	RNU6-304P	107	0.43
ENSG00000238249.2	HMGN2P17	743	0.48
ENSG00000232208.2	AL139415.1	352	0.418
ENSG00000232663.2	AL139415.2	163	0.46
ENSG00000265141.2	RN7SL451P	299	0.548
ENSG00000197241.3	SLC2A7	1539	0.59
ENSG00000252404.1	AL158048.1	184	0.478
ENSG00000284357.1	MIR34A	110	0.509
ENSG00000284652.1	BX323043.1	1765	0.5
ENSG00000252956.1	RNA5SP40	110	0.536
ENSG00000235263.1	AL928921.1	708	0.521
ENSG00000171612.7	SLC25A33	3865	0.459
ENSG00000231181.1	AL954705.1	559	0.445
ENSG00000179840.5	PIK3CD-AS1	1823	0.555
ENSG00000233268.3	AL691449.1	421	0.447
ENSG00000231789.2	PIK3CD-AS2	939	0.559
ENSG00000271264.1	MZT1P1	246	0.463
ENSG00000223989.1	AL357140.1	424	0.521
ENSG00000285701.1	AL357140.4	762	0.525
ENSG00000228150.1	AL357140.2	440	0.436
ENSG00000202415.1	RN7SKP269	319	0.514
ENSG00000283611.2	TMEM274P	444	0.484
ENSG00000265521.1	MIR5697	78	0.385
ENSG00000241326.1	AL603962.1	436	0.433
ENSG00000224340.1	AL590639.1	337	0.415
ENSG00000233623.2	PGAM1P11	680	0.531
ENSG00000201746.1	RNU6-828P	107	0.43
ENSG00000264881.1	AL358013.1	86	0.547
ENSG00000199562.1	RNU6-37P	107	0.458
ENSG00000264501.2	RN7SL731P	293	0.529
ENSG00000271989.1	AL139424.1	797	0.605
ENSG00000241563.4	CORT	914	0.49
ENSG00000203469.2	AL354956.1	467	0.486
ENSG00000287727.1	AL139423.2	2876	0.526
ENSG00000243267.3	RN7SL614P	280	0.586
ENSG00000272078.1	AL139423.1	7923	0.617
ENSG00000225158.2	HSPE1P24	238	0.429
ENSG00000215785.2	CFL1P6	494	0.549
ENSG00000226849.1	AL109811.1	2682	0.503
ENSG00000253086.1	RNU6-537P	103	0.35
ENSG00000207451.1	RNU6-291P	107	0.402
ENSG00000238173.1	RPL39P6	150	0.407
ENSG00000238199.1	UBE2V2P3	437	0.389
ENSG00000284646.1	AL031291.1	742	0.532
ENSG00000224338.2	MTCYBP45	565	0.43
ENSG00000285833.1	AL590989.1	1051	0.608
ENSG00000235643.2	LINC01647	1351	0.528
ENSG00000284708.1	AL031731.1	2094	0.535
ENSG00000162490.7	DRAXIN	7365	0.532
ENSG00000177553.6	C1orf167-AS1	1868	0.558
ENSG00000276470.1	AL021155.2	173	0.532
ENSG00000278852.1	AL021155.3	149	0.43
ENSG00000275915.1	AL021155.1	108	0.5
ENSG00000120937.9	NPPB	708	0.568
ENSG00000224904.1	SBF1P2	2637	0.617
ENSG00000199347.1	RNU5E-1	120	0.4
ENSG00000201801.1	RNU5E-4P	120	0.333
ENSG00000287384.1	AL096840.3	595	0.543
ENSG00000270914.1	AL096840.2	93	0.419
ENSG00000202461.1	AL096840.1	113	0.451
ENSG00000276869.1	MIR6729	65	0.754
ENSG00000243539.3	RN7SL649P	275	0.542
ENSG00000201135.1	RNU6-777P	104	0.385
ENSG00000227875.2	RPL23AP89	255	0.49
ENSG00000285604.1	AL357835.1	1196	0.521
ENSG00000283789.1	MIR7846	96	0.75
ENSG00000263676.1	MIR4632	61	0.705
ENSG00000225196.2	RPL10P17	316	0.522
ENSG00000252969.1	SNORA70	124	0.468
ENSG00000239149.1	SNORA59A	152	0.539
ENSG00000229484.1	LINC02766	438	0.6
ENSG00000221340.1	RNU6ATAC18P	101	0.475
ENSG00000276830.1	MIR6730	67	0.612
ENSG00000272482.1	AC254633.1	345	0.557
ENSG00000204518.2	AADACL4	1575	0.49
ENSG00000226166.2	AC244670.1	112	0.438
ENSG00000116726.5	PRAMEF12	2889	0.492
ENSG00000228338.1	LINC01784	378	0.489
ENSG00000239810.3	PRAMEF11	1845	0.501
ENSG00000231103.2	PRAMEF30P	1417	0.524
ENSG00000179172.10	HNRNPCL1	1134	0.478
ENSG00000120952.4	PRAMEF2	1642	0.505
ENSG00000243073.4	PRAMEF4	1840	0.498
ENSG00000187545.5	PRAMEF10	1525	0.524
ENSG00000207434.1	RNU6-1072P	107	0.458
ENSG00000234064.1	PRAMEF29P	1139	0.507
ENSG00000274178.2	PRAMEF28P	1450	0.521
ENSG00000274764.5	PRAMEF27	1863	0.499
ENSG00000277058.2	HNRNPCL3	1148	0.49
ENSG00000277862.1	PRAMEF34P	1447	0.522
ENSG00000236179.1	PRAMEF35P	891	0.505
ENSG00000275774.3	HNRNPCL2	1156	0.48
ENSG00000233336.1	AC245056.1	384	0.484
ENSG00000280267.4	PRAMEF26	1863	0.503
ENSG00000179412.11	HNRNPCL4	1718	0.439
ENSG00000204505.4	PRAMEF9	1863	0.501
ENSG00000279804.2	PRAMEF18	2067	0.492
ENSG00000250894.1	PRAMEF31P	1371	0.513
ENSG00000270601.4	PRAMEF5	1720	0.513
ENSG00000231219.1	PRAMEF32P	1068	0.508
ENSG00000207511.1	RNU6-771P	107	0.458
ENSG00000237700.2	PRAMEF33	1518	0.524
ENSG00000204501.7	PRAMEF15	1865	0.5
ENSG00000228229.2	AC243961.1	384	0.487
ENSG00000204480.8	PRAMEF19	1440	0.53
ENSG00000204479.4	PRAMEF17	1578	0.506
ENSG00000162494.6	LRRC38	2168	0.602
ENSG00000259961.1	AL354712.1	477	0.583
ENSG00000215909.3	BRWD1P1	371	0.566
ENSG00000222952.1	RNA5SP41	101	0.564
ENSG00000237445.2	AL359771.1	379	0.266
ENSG00000253085.1	AL359771.2	130	0.469
ENSG00000252151.1	RNU6-1265P	103	0.447
ENSG00000235829.1	TBCAP2	326	0.414
ENSG00000287756.1	AL031293.1	1453	0.499
ENSG00000215720.4	MFFP1	710	0.428
ENSG00000278480.1	ZBTB2P1	966	0.533
ENSG00000233485.1	FHAD1-AS1	3105	0.498
ENSG00000236045.1	AL031283.2	727	0.484
ENSG00000251866.1	SCARNA21B	140	0.607
ENSG00000272510.1	AL121992.3	346	0.373
ENSG00000116771.6	AGMAT	3095	0.51
ENSG00000237301.1	AL121992.1	2845	0.522
ENSG00000235084.3	CHCHD2P6	447	0.613
ENSG00000252417.1	RNU7-179P	68	0.529
ENSG00000236500.1	CD24P1	225	0.489
ENSG00000215695.1	RSC1A1	1854	0.428
ENSG00000271742.1	AL121992.2	256	0.523
ENSG00000224459.1	SLC25A34-AS1	639	0.593
ENSG00000224321.1	RPL12P14	490	0.508
ENSG00000233954.6	UQCRHL	2180	0.469
ENSG00000178715.8	AL450998.1	438	0.557
ENSG00000179743.4	FLJ37453	2473	0.612
ENSG00000270620.1	AL034555.1	211	0.393
ENSG00000234607.2	AL355994.4	563	0.458
ENSG00000231353.1	AL355994.1	260	0.377
ENSG00000275503.1	AL355994.5	236	0.627
ENSG00000224966.4	TBC1D3P6	962	0.605
ENSG00000183888.4	SRARP	3039	0.526
ENSG00000233078.1	AL355994.3	466	0.534
ENSG00000232456.1	AL355994.2	704	0.652
ENSG00000227959.1	AL451042.2	904	0.634
ENSG00000224621.1	AL451042.1	544	0.504
ENSG00000234166.1	ARHGEF19-AS1	439	0.476
ENSG00000288398.1	AL109627.1	2662	0.563
ENSG00000233929.1	MT1XP1	186	0.608
ENSG00000226457.1	RPL22P3	381	0.415
ENSG00000226029.1	LINC01772	3245	0.459
ENSG00000206652.1	RNU1-1	164	0.543
ENSG00000261135.1	AL137802.2	1110	0.413
ENSG00000285853.1	AL137802.3	1558	0.453
ENSG00000224174.2	AL137802.1	327	0.474
ENSG00000277344.1	RNU1-6P	144	0.521
ENSG00000225710.1	AL355149.1	882	0.528
ENSG00000271732.1	AL137798.1	339	0.398
ENSG00000283773.1	AL137798.3	166	0.578
ENSG00000186301.8	MST1P2	2291	0.613
ENSG00000282143.1	AL137798.2	817	0.564
ENSG00000207513.1	RNU1-3	164	0.543
ENSG00000280114.1	AL021920.2	1351	0.507
ENSG00000236698.1	EIF1AXP1	435	0.386
ENSG00000279151.1	AL021920.1	406	0.594
ENSG00000282740.1	AL021920.3	819	0.565
ENSG00000207389.1	RNU1-4	164	0.543
ENSG00000230239.1	BX284668.3	882	0.525
ENSG00000263811.1	MIR3675	73	0.411
ENSG00000277234.1	RNU1-5P	144	0.535
ENSG00000235241.1	BX284668.4	508	0.644
ENSG00000207005.1	RNU1-2	164	0.543
ENSG00000272426.1	BX284668.6	438	0.409
ENSG00000286898.1	AL049569.2	385	0.597
ENSG00000226526.1	AL049569.1	636	0.635
ENSG00000288636.1	AL049569.3	312	0.606
ENSG00000282843.1	AL590644.1	1228	0.562
ENSG00000142619.4	PADI3	3189	0.56
ENSG00000266634.1	MIR3972	87	0.609
ENSG00000276747.1	PADI6	2396	0.551
ENSG00000227751.1	RCC2-AS1	311	0.45
ENSG00000284653.1	AL357509.1	2013	0.489
ENSG00000261781.1	LINC01654	2471	0.499
ENSG00000280222.1	AL365209.1	6473	0.544
ENSG00000230035.2	IGSF21-AS1	430	0.591
ENSG00000225387.1	AL591896.1	491	0.507
ENSG00000179023.8	KLHDC7A	5145	0.578
ENSG00000235282.3	DYNLL1P3	266	0.447
ENSG00000225478.2	AL031737.1	223	0.363
ENSG00000179002.5	TAS1R2	2542	0.589
ENSG00000265606.1	MIR4695	74	0.703
ENSG00000221662.1	MIR1290	78	0.397
ENSG00000272084.1	AL137127.1	3402	0.559
ENSG00000230424.1	EMC1-AS1	507	0.513
ENSG00000286064.1	AL035413.2	339	0.599
ENSG00000162482.5	AKR7A3	1215	0.6
ENSG00000270728.1	AL035413.1	525	0.383
ENSG00000200403.1	RNU6-1099P	107	0.402
ENSG00000240490.3	RN7SL277P	288	0.556
ENSG00000201609.1	RNU4-28P	141	0.362
ENSG00000235185.1	AL031727.2	207	0.527
ENSG00000226396.1	AL031727.1	455	0.554
ENSG00000158748.4	HTR6	3800	0.65
ENSG00000178828.7	RNF186	1255	0.581
ENSG00000235434.1	AL391883.1	447	0.497
ENSG00000188784.4	PLA2G2E	785	0.581
ENSG00000242688.3	RN7SL304P	301	0.545
ENSG00000225986.1	UBXN10-AS1	510	0.506
ENSG00000162543.6	UBXN10	5562	0.467
ENSG00000226664.1	AL020998.1	229	0.493
ENSG00000226487.1	AL139254.1	376	0.468
ENSG00000284743.1	AL139254.3	674	0.412
ENSG00000090432.7	MUL1	2428	0.565
ENSG00000215520.3	RPS4XP4	763	0.468
ENSG00000183114.8	FAM43B	2448	0.676
ENSG00000284005.1	MIR6084	110	0.773
ENSG00000117242.7	PINK1-AS	4443	0.51
ENSG00000235432.1	AL663074.2	479	0.499
ENSG00000233069.1	AL663074.1	299	0.535
ENSG00000251914.1	RNU7-200P	62	0.355
ENSG00000221808.1	MIR1256	119	0.42
ENSG00000233072.1	RPS15AP6	385	0.413
ENSG00000236073.2	AL627311.1	115	0.417
ENSG00000235112.1	HSPE1P27	296	0.395
ENSG00000287192.1	AL031005.2	1111	0.565
ENSG00000236936.1	AL031005.1	723	0.503
ENSG00000236216.5	PPP1R11P1	376	0.58
ENSG00000228823.1	AL592309.1	649	0.536
ENSG00000227001.3	NBPF2P	661	0.478
ENSG00000187952.9	HS6ST1P1	1234	0.671
ENSG00000186543.7	CROCCP5	830	0.655
ENSG00000176378.8	PFN1P10	327	0.566
ENSG00000233431.1	LINC02596	821	0.565
ENSG00000231978.2	AL590103.1	307	0.456
ENSG00000232037.3	AL590556.1	483	0.443
ENSG00000273610.1	RN7SL386P	297	0.562
ENSG00000201919.1	RNU6-1022P	104	0.433
ENSG00000278124.1	RN7SL186P	297	0.559
ENSG00000201273.1	RNU6-776P	104	0.433
ENSG00000285752.1	CDC42-AS1	2574	0.454
ENSG00000285794.1	AL031281.1	222	0.559
ENSG00000230068.2	CDC42-IT1	692	0.393
ENSG00000271428.1	MPHOSPH6P1	488	0.375
ENSG00000285873.1	AL445253.1	811	0.564
ENSG00000266564.1	MIR4418	62	0.532
ENSG00000234397.3	PPIAP34	492	0.474
ENSG00000279625.1	AL591122.1	1853	0.494
ENSG00000237200.1	ZBTB40-IT1	273	0.491
ENSG00000276835.2	MIR6127	109	0.55
ENSG00000265422.1	MIR4684	82	0.524
ENSG00000225952.1	AL512444.1	480	0.525
ENSG00000264014.1	MIR4253	68	0.647
ENSG00000240553.1	AL031428.1	666	0.495
ENSG00000263793.1	MIR3115	68	0.412
ENSG00000266802.1	AL031428.2	77	0.597
ENSG00000229010.1	AL161672.1	818	0.581
ENSG00000206935.1	RNU6-514P	107	0.383
ENSG00000252578.1	RNU6-135P	101	0.426
ENSG00000179546.4	HTR1D	2835	0.487
ENSG00000215381.3	AL109936.2	460	0.557
ENSG00000284726.1	AL109936.8	604	0.44
ENSG00000201405.1	AL109936.1	93	0.387
ENSG00000271420.1	AL109936.3	650	0.448
ENSG00000232482.2	AL357134.1	426	0.413
ENSG00000235052.1	AL021154.1	456	0.428
ENSG00000285802.1	AL450043.1	1322	0.483
ENSG00000229239.2	AL451000.1	1186	0.533
ENSG00000179163.12	FUCA1	2043	0.483
ENSG00000188822.8	CNR2	5265	0.478
ENSG00000229106.1	BTBD6P1	1267	0.582
ENSG00000232557.3	AL590609.2	210	0.452
ENSG00000264926.1	MIR378F	78	0.526
ENSG00000230228.2	H3P1	368	0.486
ENSG00000215905.4	AL590609.1	328	0.543
ENSG00000225315.2	AL591178.1	454	0.542
ENSG00000230703.1	MYOM3-AS1	461	0.497
ENSG00000142677.4	IL22RA1	2817	0.572
ENSG00000230023.2	LINC02800	1849	0.513
ENSG00000232298.2	GRHL3-AS1	856	0.553
ENSG00000264443.1	NCMAP-DT	1445	0.454
ENSG00000227312.2	AL445686.1	348	0.425
ENSG00000239106.1	Y_RNA	103	0.408
ENSG00000284699.1	AL445648.1	886	0.482
ENSG00000238482.1	RNU6-1208P	107	0.374
ENSG00000278034.1	MIR6731	72	0.597
ENSG00000229162.1	RUNX3-AS1	820	0.516
ENSG00000261025.1	AL445471.1	2443	0.555
ENSG00000264371.1	MIR4425	84	0.44
ENSG00000233419.3	IFITM3P7	402	0.567
ENSG00000231953.2	AL031432.1	988	0.427
ENSG00000284602.1	AL031432.4	2190	0.461
ENSG00000284657.1	AL031432.5	760	0.562
ENSG00000272432.1	AL031432.3	485	0.53
ENSG00000261349.1	AL031432.2	459	0.601
ENSG00000224183.1	SDHDP6	480	0.54
ENSG00000259984.1	AL928711.1	459	0.601
ENSG00000238084.4	AL031284.1	478	0.54
ENSG00000225643.1	AL606491.1	483	0.588
ENSG00000233478.1	AL031280.1	2224	0.555
ENSG00000272478.1	AL020996.3	222	0.455
ENSG00000236528.1	AL033528.3	849	0.561
ENSG00000207302.1	AL033528.1	110	0.418
ENSG00000229786.1	SNRPFP2	251	0.434
ENSG00000223624.1	AL033528.2	140	0.414
ENSG00000283938.1	MIR3917	93	0.71
ENSG00000207237.1	RNU6-110P	104	0.423
ENSG00000252190.1	AL592064.1	125	0.52
ENSG00000252691.1	AL592064.2	84	0.524
ENSG00000284309.1	AL391650.2	941	0.522
ENSG00000197245.6	FAM110D	2799	0.6
ENSG00000278572.1	AL355877.2	899	0.527
ENSG00000270733.1	AL355877.1	358	0.433
ENSG00000225854.2	AL451139.1	346	0.448
ENSG00000223583.1	AL513365.1	535	0.439
ENSG00000224129.1	DPPA2P2	897	0.441
ENSG00000238705.1	MIR1976	52	0.615
ENSG00000243905.3	RN7SL679P	304	0.546
ENSG00000252802.1	Y_RNA	102	0.441
ENSG00000252429.2	RNU7-29P	64	0.344
ENSG00000229247.2	AL627313.1	238	0.534
ENSG00000238316.1	AL627082.2	104	0.385
ENSG00000235069.2	AL627082.1	235	0.54
ENSG00000260063.1	AL512408.1	2000	0.509
ENSG00000241188.3	RN7SL165P	291	0.502
ENSG00000287810.1	AL034380.2	177	0.774
ENSG00000175793.12	SFN	1308	0.628
ENSG00000226698.1	AL034380.1	306	0.408
ENSG00000131910.5	NR0B2	1165	0.593
ENSG00000172746.6	RPL12P13	497	0.495
ENSG00000224064.1	AL356390.1	397	0.469
ENSG00000225294.1	OSTCP2	444	0.421
ENSG00000158246.8	TENT5B	2382	0.626
ENSG00000229985.2	AL590640.2	527	0.588
ENSG00000214973.3	CHCHD3P3	640	0.508
ENSG00000225159.1	NPM1P39	867	0.414
ENSG00000225990.2	SNRPEP7	220	0.409
ENSG00000224311.1	AL590640.1	379	0.549
ENSG00000252098.1	Y_RNA	104	0.394
ENSG00000243659.1	FO393419.3	282	0.39
ENSG00000206888.1	RNU6-48P	107	0.458
ENSG00000241547.1	ACTG1P20	468	0.556
ENSG00000231207.1	FO393419.1	355	0.403
ENSG00000181773.7	GPR3	2137	0.565
ENSG00000241169.1	FO393419.2	428	0.371
ENSG00000237429.1	BX293535.1	283	0.527
ENSG00000235912.1	AL031729.1	192	0.536
ENSG00000233975.1	LINC02574	441	0.488
ENSG00000206767.1	RNU6-949P	107	0.402
ENSG00000226662.2	CHMP1AP1	662	0.562
ENSG00000207095.1	RNU6-424P	105	0.362
ENSG00000287244.1	AL020997.5	935	0.551
ENSG00000231344.1	AL020997.1	349	0.43
ENSG00000230833.1	RPEP3	676	0.46
ENSG00000269971.1	AL020997.2	184	0.418
ENSG00000270031.1	AL020997.3	359	0.337
ENSG00000223062.1	RNU6-1245P	106	0.453
ENSG00000286433.1	AL020997.4	1471	0.458
ENSG00000252947.1	SCARNA1	166	0.404
ENSG00000227050.1	AL512288.1	491	0.554
ENSG00000238231.2	AL512288.2	367	0.515
ENSG00000240750.3	RN7SL559P	297	0.552
ENSG00000228589.3	SPCS2P4	681	0.46
ENSG00000228943.1	AL137792.2	235	0.413
ENSG00000214812.3	AL137792.1	557	0.451
ENSG00000253005.1	RNU6-176P	105	0.381
ENSG00000270605.1	AL353622.1	1945	0.416
ENSG00000271398.1	AL353622.2	425	0.555
ENSG00000130766.5	SESN2	3462	0.596
ENSG00000206779.1	Y_RNA	101	0.436
ENSG00000229820.2	CR391992.1	394	0.437
ENSG00000221216.1	RNU6ATAC27P	119	0.471
ENSG00000274266.1	SNORA73A	206	0.563
ENSG00000200087.1	SNORA73B	204	0.549
ENSG00000231468.2	PRDX3P2	611	0.46
ENSG00000279443.1	AL513497.1	2083	0.464
ENSG00000221539.1	SNORD99	74	0.473
ENSG00000278274.1	SNORA61	130	0.454
ENSG00000273544.1	SNORA44	132	0.508
ENSG00000280498.1	SNORA16A	135	0.481
ENSG00000274582.1	SNORA16A	137	0.489
ENSG00000270103.3	AL360012.1	131	0.519
ENSG00000274978.1	RNU11	134	0.515
ENSG00000252777.1	AL645729.1	130	0.346
ENSG00000233427.1	AL009181.1	1085	0.541
ENSG00000199756.1	Y_RNA	110	0.373
ENSG00000225616.2	AL138785.1	331	0.483
ENSG00000206704.1	Y_RNA	101	0.455
ENSG00000277958.1	Metazoa_SRP	282	0.567
ENSG00000225750.1	AL357500.1	279	0.459
ENSG00000277916.1	AL357500.2	169	0.438
ENSG00000237934.1	AL590729.1	573	0.482
ENSG00000230523.1	LINC01756	2148	0.535
ENSG00000225011.4	AL671862.1	349	0.616
ENSG00000228176.1	AC092265.1	498	0.538
ENSG00000284676.1	AL645944.2	1953	0.541
ENSG00000270927.1	AL645944.1	493	0.432
ENSG00000233399.2	LINC01648	1519	0.498
ENSG00000233372.1	AL137076.1	551	0.479
ENSG00000231251.1	AL021921.1	93	0.516
ENSG00000236335.1	AL161638.2	507	0.505
ENSG00000231949.1	AL161638.1	481	0.52
ENSG00000287510.1	AL137857.1	1077	0.46
ENSG00000264773.1	MIR4420	77	0.494
ENSG00000229607.1	AL137027.1	444	0.525
ENSG00000222784.1	RN7SKP91	288	0.524
ENSG00000235143.1	AL445235.1	1747	0.516
ENSG00000266210.2	RN7SL371P	267	0.517
ENSG00000237329.2	AL356320.2	507	0.385
ENSG00000232768.1	AL356320.1	163	0.466
ENSG00000215900.4	SELENOWP1	252	0.492
ENSG00000225142.2	AC114495.1	436	0.438
ENSG00000229447.2	AC114495.2	437	0.391
ENSG00000229044.1	AL451070.1	439	0.446
ENSG00000215899.3	AC209007.1	1342	0.467
ENSG00000206981.1	RNU6-40P	107	0.458
