Geneid	syn	length	gc
ENST00000429389.1	ENSG00000231630.1	AL592464.1	429	0.592
ENST00000378404.4	ENSG00000169717.7	ACTRT2	1437	0.617
ENST00000635819.1	ENSG00000283572.1	MIR4251	61	0.508
ENST00000440516.1	ENSG00000226286.1	AL008733.1	469	0.559
ENST00000624175.1	ENSG00000279839.1	AL512383.1	2677	0.591
ENST00000607061.1	ENSG00000272235.1	AL590438.1	3461	0.542
ENST00000669140.1	ENSG00000287828.1	AL354743.2	728	0.61
ENST00000665088.1	ENSG00000286518.1	AL354743.1	2784	0.542
ENST00000606489.1	ENSG00000272088.1	AL512413.1	382	0.403
ENST00000385042.1	ENSG00000207776.1	MIR551A	96	0.615
ENST00000435049.1	ENSG00000238260.1	AL513320.1	622	0.613
ENST00000443034.1	ENSG00000227589.1	AL136528.1	754	0.521
ENST00000416554.1	ENSG00000235131.1	TP73-AS2	351	0.57
ENST00000611447.1	ENSG00000276189.1	AL136528.2	161	0.578
ENST00000581512.2	ENSG00000266075.2	RN7SL574P	297	0.586
ENST00000607459.1	ENSG00000272153.1	AL365330.1	531	0.539
ENST00000642139.1	ENSG00000284703.1	AL805961.1	4817	0.446
ENST00000449232.1	ENSG00000229280.1	EEF1DP6	372	0.57
ENST00000641472.1	ENSG00000284694.1	AL355602.1	3402	0.493
ENST00000438791.2	ENSG00000227169.2	Z98747.1	356	0.455
ENST00000641254.1	ENSG00000284739.1	BX005132.1	464	0.532
ENST00000641403.1	ENSG00000284674.1	LINC02781	1580	0.498
ENST00000443270.1	ENSG00000231510.1	LINC02782	449	0.519
ENST00000641871.1	ENSG00000284616.1	AL139823.1	1225	0.456
ENST00000641583.1	ENSG00000284666.1	Z98259.2	609	0.534
ENST00000564261.1	ENSG00000260972.1	Z98259.1	1697	0.516
ENST00000637697.1	ENSG00000283356.1	Z97988.2	135	0.415
ENST00000579887.1	ENSG00000264341.1	Z97988.1	73	0.63
ENST00000582517.1	ENSG00000264101.1	MIR4689	70	0.629
ENST00000484532.6	ENSG00000285629.1	AL031847.1	663	0.496
ENST00000455744.1	ENSG00000226944.1	RNF207-AS1	378	0.579
ENST00000377898.4	ENSG00000173673.8	HES3	710	0.679
ENST00000377893.3	ENSG00000158292.7	GPR153	4198	0.665
ENST00000607670.1	ENSG00000271746.1	AL031848.2	837	0.632
ENST00000585139.1	ENSG00000265392.1	MIR4252	63	0.651
ENST00000419034.1	ENSG00000231868.1	AL031848.1	351	0.601
ENST00000517213.1	ENSG00000253022.1	RNU6-731P	111	0.378
ENST00000456162.2	ENSG00000229519.2	AL591866.1	401	0.464
ENST00000641757.1	ENSG00000284744.1	AL591163.1	987	0.47
ENST00000442889.1	ENSG00000237436.1	CAMTA1-DT	415	0.571
ENST00000433407.1	ENSG00000227950.1	AL590128.1	286	0.51
ENST00000456701.1	ENSG00000237365.1	AL512330.1	349	0.544
ENST00000384328.1	ENSG00000207056.1	RNU1-8P	165	0.521
ENST00000427317.1	ENSG00000237402.1	CAMTA1-IT1	365	0.534
ENST00000440032.1	ENSG00000225126.1	CAMTA1-AS1	361	0.49
ENST00000602640.1	ENSG00000270171.1	AL359881.3	1721	0.479
ENST00000602973.1	ENSG00000270035.1	AL359881.2	570	0.553
ENST00000602916.1	ENSG00000269978.1	AL359881.1	267	0.382
ENST00000602406.1	ENSG00000269925.1	Z98884.2	393	0.366
ENST00000451646.1	ENSG00000236266.1	Z98884.1	830	0.502
ENST00000603760.1	ENSG00000270330.1	AL009183.1	355	0.685
ENST00000363474.1	ENSG00000200344.1	Y_RNA	103	0.427
ENST00000641100.1	ENSG00000284716.1	AL034417.3	1043	0.41
ENST00000445300.1	ENSG00000238290.1	AL034417.2	2044	0.526
ENST00000399343.2	ENSG00000232848.1	AL034417.1	800	0.524
ENST00000453364.1	ENSG00000229305.1	AL358876.1	1075	0.457
ENST00000364105.1	ENSG00000200975.1	RNU1-7P	164	0.555
ENST00000424689.1	ENSG00000233645.1	AL358876.2	477	0.551
ENST00000516168.1	ENSG00000251977.1	RNU6-991P	107	0.467
ENST00000516445.1	ENSG00000252254.1	AL356072.1	113	0.504
ENST00000408156.1	ENSG00000221083.1	AL096855.1	125	0.552
ENST00000605785.1	ENSG00000270282.1	AL096855.2	369	0.537
ENST00000437586.1	ENSG00000234619.1	RPL7P11	658	0.415
ENST00000428803.2	ENSG00000224315.2	RPL7P7	703	0.42
ENST00000410579.2	ENSG00000222511.2	Y_RNA	103	0.34
ENST00000445254.1	ENSG00000226545.1	AL357552.1	415	0.463
ENST00000433876.2	ENSG00000228423.2	AL357552.2	353	0.408
ENST00000436229.2	ENSG00000229716.2	RPL23AP19	369	0.472
ENST00000618792.1	ENSG00000274258.1	MIR6728	89	0.607
ENST00000442636.1	ENSG00000230679.1	ENO1-AS1	456	0.489
ENST00000364855.1	ENSG00000201725.1	RNU6-304P	107	0.43
ENST00000425872.1	ENSG00000238249.2	HMGN2P17	743	0.48
ENST00000424862.2	ENSG00000232208.2	AL139415.1	352	0.418
ENST00000431968.2	ENSG00000232663.2	AL139415.2	163	0.46
ENST00000583026.2	ENSG00000265141.2	RN7SL451P	299	0.548
ENST00000400906.1	ENSG00000197241.3	SLC2A7	1539	0.59
ENST00000516595.1	ENSG00000252404.1	AL158048.1	184	0.478
ENST00000385130.1	ENSG00000284357.1	MIR34A	110	0.509
ENST00000641006.1	ENSG00000284652.1	BX323043.1	1765	0.5
ENST00000517147.1	ENSG00000252956.1	RNA5SP40	110	0.536
ENST00000441033.1	ENSG00000235263.1	AL928921.1	708	0.521
ENST00000302692.7	ENSG00000171612.7	SLC25A33	3865	0.459
ENST00000435277.1	ENSG00000231181.1	AL954705.1	559	0.445
ENST00000377320.3	ENSG00000179840.5	PIK3CD-AS1	1823	0.555
ENST00000426570.3	ENSG00000233268.3	AL691449.1	421	0.447
ENST00000415330.2	ENSG00000231789.2	PIK3CD-AS2	939	0.559
ENST00000603781.1	ENSG00000271264.1	MZT1P1	246	0.463
ENST00000454104.1	ENSG00000223989.1	AL357140.1	424	0.521
ENST00000648956.1	ENSG00000285701.1	AL357140.4	762	0.525
ENST00000445884.1	ENSG00000228150.1	AL357140.2	440	0.436
ENST00000365545.1	ENSG00000202415.1	RN7SKP269	319	0.514
ENST00000636827.2	ENSG00000283611.2	TMEM274P	444	0.484
ENST00000578045.1	ENSG00000265521.1	MIR5697	78	0.385
ENST00000413148.1	ENSG00000241326.1	AL603962.1	436	0.433
ENST00000456484.1	ENSG00000224340.1	AL590639.1	337	0.415
ENST00000416729.2	ENSG00000233623.2	PGAM1P11	680	0.531
ENST00000364876.1	ENSG00000201746.1	RNU6-828P	107	0.43
ENST00000577266.1	ENSG00000264881.1	AL358013.1	86	0.547
ENST00000362692.1	ENSG00000199562.1	RNU6-37P	107	0.458
ENST00000584329.2	ENSG00000264501.2	RN7SL731P	293	0.529
ENST00000607572.1	ENSG00000271989.1	AL139424.1	797	0.605
ENST00000377049.4	ENSG00000241563.4	CORT	914	0.49
ENST00000424487.1	ENSG00000203469.2	AL354956.1	467	0.486
ENST00000663738.1	ENSG00000287727.1	AL139423.2	2876	0.526
ENST00000461850.3	ENSG00000243267.3	RN7SL614P	280	0.586
ENST00000606802.1	ENSG00000272078.1	AL139423.1	7923	0.617
ENST00000450782.2	ENSG00000225158.2	HSPE1P24	238	0.429
ENST00000400899.2	ENSG00000215785.2	CFL1P6	494	0.549
ENST00000452378.1	ENSG00000226849.1	AL109811.1	2682	0.503
ENST00000517277.1	ENSG00000253086.1	RNU6-537P	103	0.35
ENST00000384720.1	ENSG00000207451.1	RNU6-291P	107	0.402
ENST00000448289.1	ENSG00000238173.1	RPL39P6	150	0.407
ENST00000433562.1	ENSG00000238199.1	UBE2V2P3	437	0.389
ENST00000641979.1	ENSG00000284646.1	AL031291.1	742	0.532
ENST00000435243.2	ENSG00000224338.2	MTCYBP45	565	0.43
ENST00000649975.1	ENSG00000285833.1	AL590989.1	1051	0.608
ENST00000453135.2	ENSG00000235643.2	LINC01647	1351	0.528
ENST00000642131.1	ENSG00000284708.1	AL031731.1	2094	0.535
ENST00000294485.6	ENSG00000162490.7	DRAXIN	7365	0.532
ENST00000376620.3	ENSG00000177553.6	C1orf167-AS1	1868	0.558
ENST00000622391.1	ENSG00000276470.1	AL021155.2	173	0.532
ENST00000618496.1	ENSG00000278852.1	AL021155.3	149	0.43
ENST00000617059.1	ENSG00000275915.1	AL021155.1	108	0.5
ENST00000376468.4	ENSG00000120937.9	NPPB	708	0.568
ENST00000438808.1	ENSG00000224904.1	SBF1P2	2637	0.617
ENST00000362477.1	ENSG00000199347.1	RNU5E-1	120	0.4
ENST00000364931.1	ENSG00000201801.1	RNU5E-4P	120	0.333
ENST00000660216.1	ENSG00000287384.1	AL096840.3	595	0.543
ENST00000603287.1	ENSG00000270914.1	AL096840.2	93	0.419
ENST00000365591.1	ENSG00000202461.1	AL096840.1	113	0.451
ENST00000618194.1	ENSG00000276869.1	MIR6729	65	0.754
ENST00000496974.3	ENSG00000243539.3	RN7SL649P	275	0.542
ENST00000364265.1	ENSG00000201135.1	RNU6-777P	104	0.385
ENST00000439324.2	ENSG00000227875.2	RPL23AP89	255	0.49
ENST00000647616.1	ENSG00000285604.1	AL357835.1	1196	0.521
ENST00000622420.1	ENSG00000283789.1	MIR7846	96	0.75
ENST00000584158.1	ENSG00000263676.1	MIR4632	61	0.705
ENST00000453852.2	ENSG00000225196.2	RPL10P17	316	0.522
ENST00000517160.1	ENSG00000252969.1	SNORA70	124	0.468
ENST00000459326.1	ENSG00000239149.1	SNORA59A	152	0.539
ENST00000416696.1	ENSG00000229484.1	LINC02766	438	0.6
ENST00000408413.1	ENSG00000221340.1	RNU6ATAC18P	101	0.475
ENST00000622213.1	ENSG00000276830.1	MIR6730	67	0.612
ENST00000606790.1	ENSG00000272482.1	AC254633.1	345	0.557
ENST00000376221.1	ENSG00000204518.2	AADACL4	1575	0.49
ENST00000436879.2	ENSG00000226166.2	AC244670.1	112	0.438
ENST00000357726.5	ENSG00000116726.5	PRAMEF12	2889	0.492
ENST00000438401.1	ENSG00000228338.1	LINC01784	378	0.489
ENST00000619922.1	ENSG00000239810.3	PRAMEF11	1845	0.501
ENST00000438176.2	ENSG00000231103.2	PRAMEF30P	1417	0.524
ENST00000317869.7	ENSG00000179172.10	HNRNPCL1	1134	0.478
ENST00000240189.2	ENSG00000120952.4	PRAMEF2	1642	0.505
ENST00000235349.6	ENSG00000243073.4	PRAMEF4	1840	0.498
ENST00000235347.4	ENSG00000187545.5	PRAMEF10	1525	0.524
ENST00000384703.1	ENSG00000207434.1	RNU6-1072P	107	0.458
ENST00000418187.1	ENSG00000234064.1	PRAMEF29P	1139	0.507
ENST00000610289.2	ENSG00000274178.2	PRAMEF28P	1450	0.521
ENST00000436041.5	ENSG00000274764.5	PRAMEF27	1863	0.499
ENST00000617807.2	ENSG00000277058.2	HNRNPCL3	1148	0.49
ENST00000611860.1	ENSG00000277862.1	PRAMEF34P	1447	0.522
ENST00000458709.1	ENSG00000236179.1	PRAMEF35P	891	0.505
ENST00000621994.3	ENSG00000275774.3	HNRNPCL2	1156	0.48
ENST00000437631.1	ENSG00000233336.1	AC245056.1	384	0.484
ENST00000624207.1	ENSG00000280267.4	PRAMEF26	1863	0.503
ENST00000323770.8	ENSG00000179412.11	HNRNPCL4	1718	0.439
ENST00000415919.2	ENSG00000204505.4	PRAMEF9	1863	0.501
ENST00000624297.2	ENSG00000279804.2	PRAMEF18	2067	0.492
ENST00000504262.1	ENSG00000250894.1	PRAMEF31P	1371	0.513
ENST00000622421.2	ENSG00000270601.4	PRAMEF5	1720	0.513
ENST00000431596.1	ENSG00000231219.1	PRAMEF32P	1068	0.508
ENST00000384780.1	ENSG00000207511.1	RNU6-771P	107	0.458
ENST00000437300.2	ENSG00000237700.2	PRAMEF33	1518	0.524
ENST00000376152.2	ENSG00000204501.7	PRAMEF15	1865	0.5
ENST00000432559.2	ENSG00000228229.2	AC243961.1	384	0.487
ENST00000376101.3	ENSG00000204480.8	PRAMEF19	1440	0.53
ENST00000376098.4	ENSG00000204479.4	PRAMEF17	1578	0.506
ENST00000376085.4	ENSG00000162494.6	LRRC38	2168	0.602
ENST00000563570.1	ENSG00000259961.1	AL354712.1	477	0.583
ENST00000401091.2	ENSG00000215909.3	BRWD1P1	371	0.566
ENST00000411020.1	ENSG00000222952.1	RNA5SP41	101	0.564
ENST00000441809.2	ENSG00000237445.2	AL359771.1	379	0.266
ENST00000517276.1	ENSG00000253085.1	AL359771.2	130	0.469
ENST00000516342.1	ENSG00000252151.1	RNU6-1265P	103	0.447
ENST00000416175.1	ENSG00000235829.1	TBCAP2	326	0.414
ENST00000666715.1	ENSG00000287756.1	AL031293.1	1453	0.499
ENST00000400795.3	ENSG00000215720.4	MFFP1	710	0.428
ENST00000612442.1	ENSG00000278480.1	ZBTB2P1	966	0.533
ENST00000428747.1	ENSG00000233485.1	FHAD1-AS1	3105	0.498
ENST00000439788.1	ENSG00000236045.1	AL031283.2	727	0.484
ENST00000516057.1	ENSG00000251866.1	SCARNA21B	140	0.607
ENST00000606186.1	ENSG00000272510.1	AL121992.3	346	0.373
ENST00000375826.4	ENSG00000116771.6	AGMAT	3095	0.51
ENST00000428945.1	ENSG00000237301.1	AL121992.1	2845	0.522
ENST00000454346.1	ENSG00000235084.3	CHCHD2P6	447	0.613
ENST00000516608.1	ENSG00000252417.1	RNU7-179P	68	0.529
ENST00000422383.1	ENSG00000236500.1	CD24P1	225	0.489
ENST00000345034.1	ENSG00000215695.1	RSC1A1	1854	0.428
ENST00000606262.1	ENSG00000271742.1	AL121992.2	256	0.523
ENST00000418525.1	ENSG00000224459.1	SLC25A34-AS1	639	0.593
ENST00000431782.1	ENSG00000224321.1	RPL12P14	490	0.508
ENST00000483273.2	ENSG00000233954.6	UQCRHL	2180	0.469
ENST00000321418.6	ENSG00000178715.8	AL450998.1	438	0.557
ENST00000317122.2	ENSG00000179743.4	FLJ37453	2473	0.612
ENST00000604816.1	ENSG00000270620.1	AL034555.1	211	0.393
ENST00000416882.2	ENSG00000234607.2	AL355994.4	563	0.458
ENST00000424379.1	ENSG00000231353.1	AL355994.1	260	0.377
ENST00000613591.1	ENSG00000275503.1	AL355994.5	236	0.627
ENST00000505954.1	ENSG00000224966.4	TBC1D3P6	962	0.605
ENST00000329454.2	ENSG00000183888.4	SRARP	3039	0.526
ENST00000437156.1	ENSG00000233078.1	AL355994.3	466	0.534
ENST00000447882.1	ENSG00000232456.1	AL355994.2	704	0.652
ENST00000424774.1	ENSG00000227959.1	AL451042.2	904	0.634
ENST00000426353.1	ENSG00000224621.1	AL451042.1	544	0.504
ENST00000457809.1	ENSG00000234166.1	ARHGEF19-AS1	439	0.476
ENST00000671994.1	ENSG00000288398.1	AL109627.1	2662	0.563
ENST00000421314.1	ENSG00000233929.1	MT1XP1	186	0.608
ENST00000445689.1	ENSG00000226457.1	RPL22P3	381	0.415
ENST00000457898.1	ENSG00000226029.1	LINC01772	3245	0.459
ENST00000383925.1	ENSG00000206652.1	RNU1-1	164	0.543
ENST00000562878.1	ENSG00000261135.1	AL137802.2	1110	0.413
ENST00000648419.1	ENSG00000285853.1	AL137802.3	1558	0.453
ENST00000452795.2	ENSG00000224174.2	AL137802.1	327	0.474
ENST00000516290.1	ENSG00000277344.1	RNU1-6P	144	0.521
ENST00000438396.1	ENSG00000225710.1	AL355149.1	882	0.528
ENST00000607700.1	ENSG00000271732.1	AL137798.1	339	0.398
ENST00000639399.1	ENSG00000283773.1	AL137798.3	166	0.578
ENST00000457982.3	ENSG00000186301.8	MST1P2	2291	0.613
ENST00000633763.1	ENSG00000282143.1	AL137798.2	817	0.564
ENST00000384782.1	ENSG00000207513.1	RNU1-3	164	0.543
ENST00000624828.1	ENSG00000280114.1	AL021920.2	1351	0.507
ENST00000419267.1	ENSG00000236698.1	EIF1AXP1	435	0.386
ENST00000624517.1	ENSG00000279151.1	AL021920.1	406	0.594
ENST00000633433.1	ENSG00000282740.1	AL021920.3	819	0.565
ENST00000384659.1	ENSG00000207389.1	RNU1-4	164	0.543
ENST00000414128.1	ENSG00000230239.1	BX284668.3	882	0.525
ENST00000583661.1	ENSG00000263811.1	MIR3675	73	0.411
ENST00000362684.1	ENSG00000277234.1	RNU1-5P	144	0.535
ENST00000453917.1	ENSG00000235241.1	BX284668.4	508	0.644
ENST00000384278.1	ENSG00000207005.1	RNU1-2	164	0.543
ENST00000606899.1	ENSG00000272426.1	BX284668.6	438	0.409
ENST00000654887.1	ENSG00000286898.1	AL049569.2	385	0.597
ENST00000446261.1	ENSG00000226526.1	AL049569.1	636	0.635
ENST00000617114.5	ENSG00000288636.1	AL049569.3	312	0.606
ENST00000635428.1	ENSG00000282843.1	AL590644.1	1228	0.562
ENST00000375460.3	ENSG00000142619.4	PADI3	3189	0.56
ENST00000582732.1	ENSG00000266634.1	MIR3972	87	0.609
ENST00000619609.1	ENSG00000276747.1	PADI6	2396	0.551
ENST00000439577.1	ENSG00000227751.1	RCC2-AS1	311	0.45
ENST00000641892.1	ENSG00000284653.1	AL357509.1	2013	0.489
ENST00000569711.1	ENSG00000261781.1	LINC01654	2471	0.499
ENST00000624418.1	ENSG00000280222.1	AL365209.1	6473	0.544
ENST00000419667.2	ENSG00000230035.2	IGSF21-AS1	430	0.591
ENST00000420211.1	ENSG00000225387.1	AL591896.1	491	0.507
ENST00000400664.2	ENSG00000179023.8	KLHDC7A	5145	0.578
ENST00000596113.1	ENSG00000235282.3	DYNLL1P3	266	0.447
ENST00000450125.2	ENSG00000225478.2	AL031737.1	223	0.363
ENST00000375371.3	ENSG00000179002.5	TAS1R2	2542	0.589
ENST00000577305.1	ENSG00000265606.1	MIR4695	74	0.703
ENST00000408735.1	ENSG00000221662.1	MIR1290	78	0.397
ENST00000606379.1	ENSG00000272084.1	AL137127.1	3402	0.559
ENST00000437898.1	ENSG00000230424.1	EMC1-AS1	507	0.513
ENST00000650657.1	ENSG00000286064.1	AL035413.2	339	0.599
ENST00000361640.5	ENSG00000162482.5	AKR7A3	1215	0.6
ENST00000604801.1	ENSG00000270728.1	AL035413.1	525	0.383
ENST00000363533.1	ENSG00000200403.1	RNU6-1099P	107	0.402
ENST00000481521.3	ENSG00000240490.3	RN7SL277P	288	0.556
ENST00000364739.1	ENSG00000201609.1	RNU4-28P	141	0.362
ENST00000416470.1	ENSG00000235185.1	AL031727.2	207	0.527
ENST00000457263.1	ENSG00000226396.1	AL031727.1	455	0.554
ENST00000289753.2	ENSG00000158748.4	HTR6	3800	0.65
ENST00000375121.4	ENSG00000178828.7	RNF186	1255	0.581
ENST00000454736.1	ENSG00000235434.1	AL391883.1	447	0.497
ENST00000375116.3	ENSG00000188784.4	PLA2G2E	785	0.581
ENST00000488028.3	ENSG00000242688.3	RN7SL304P	301	0.545
ENST00000442226.1	ENSG00000225986.1	UBXN10-AS1	510	0.506
ENST00000375099.4	ENSG00000162543.6	UBXN10	5562	0.467
ENST00000444923.1	ENSG00000226664.1	AL020998.1	229	0.493
ENST00000421114.1	ENSG00000226487.1	AL139254.1	376	0.468
ENST00000641097.1	ENSG00000284743.1	AL139254.3	674	0.412
ENST00000264198.5	ENSG00000090432.7	MUL1	2428	0.565
ENST00000443195.1	ENSG00000215520.3	RPS4XP4	763	0.468
ENST00000332947.6	ENSG00000183114.8	FAM43B	2448	0.676
ENST00000622012.1	ENSG00000284005.1	MIR6084	110	0.773
ENST00000451424.1	ENSG00000117242.7	PINK1-AS	4443	0.51
ENST00000440621.1	ENSG00000235432.1	AL663074.2	479	0.499
ENST00000436642.1	ENSG00000233069.1	AL663074.1	299	0.535
ENST00000516105.1	ENSG00000251914.1	RNU7-200P	62	0.355
ENST00000408881.1	ENSG00000221808.1	MIR1256	119	0.42
ENST00000420703.1	ENSG00000233072.1	RPS15AP6	385	0.413
ENST00000431514.2	ENSG00000236073.2	AL627311.1	115	0.417
ENST00000430808.1	ENSG00000235112.1	HSPE1P27	296	0.395
ENST00000669329.1	ENSG00000287192.1	AL031005.2	1111	0.565
ENST00000416959.1	ENSG00000236936.1	AL031005.1	723	0.503
ENST00000486095.1	ENSG00000236216.5	PPP1R11P1	376	0.58
ENST00000443127.1	ENSG00000228823.1	AL592309.1	649	0.536
ENST00000453025.1	ENSG00000227001.3	NBPF2P	661	0.478
ENST00000481504.2	ENSG00000187952.9	HS6ST1P1	1234	0.671
ENST00000436658.1	ENSG00000186543.7	CROCCP5	830	0.655
ENST00000455962.2	ENSG00000176378.8	PFN1P10	327	0.566
ENST00000457706.1	ENSG00000233431.1	LINC02596	821	0.565
ENST00000434488.2	ENSG00000231978.2	AL590103.1	307	0.456
ENST00000423231.1	ENSG00000232037.3	AL590556.1	483	0.443
ENST00000485776.3	ENSG00000273610.1	RN7SL386P	297	0.562
ENST00000365049.1	ENSG00000201919.1	RNU6-1022P	104	0.433
ENST00000466485.3	ENSG00000278124.1	RN7SL186P	297	0.559
ENST00000364403.1	ENSG00000201273.1	RNU6-776P	104	0.433
ENST00000649486.1	ENSG00000285752.1	CDC42-AS1	2574	0.454
ENST00000642137.1	ENSG00000285794.1	AL031281.1	222	0.559
ENST00000431803.2	ENSG00000230068.2	CDC42-IT1	692	0.393
ENST00000604049.1	ENSG00000271428.1	MPHOSPH6P1	488	0.375
ENST00000648968.1	ENSG00000285873.1	AL445253.1	811	0.564
ENST00000581169.1	ENSG00000266564.1	MIR4418	62	0.532
ENST00000487348.1	ENSG00000234397.3	PPIAP34	492	0.474
ENST00000624125.1	ENSG00000279625.1	AL591122.1	1853	0.494
ENST00000438551.1	ENSG00000237200.1	ZBTB40-IT1	273	0.491
